Upper tier local authorities Code,Upper tier local authorities,Household size (9 categories) Code,Household size (9 categories),Observation,Percentage
E06000036,Bracknell Forest,6,6 people in household,639,1.27
E06000036,Bracknell Forest,7,7 people in household,162,0.32
E06000036,Bracknell Forest,8,8 or more people in household,76,0.15
E06000037,West Berkshire,0,0 people in household,0,0.0
E06000037,West Berkshire,1,1 person in household,18008,27.02
E06000037,West Berkshire,2,2 people in household,24134,36.21
E06000037,West Berkshire,3,3 people in household,11005,16.51
E06000037,West Berkshire,4,4 people in household,9680,14.52
E06000037,West Berkshire,5,5 people in household,2807,4.21
E06000037,West Berkshire,6,6 people in household,748,1.12
E06000037,West Berkshire,7,7 people in household,207,0.31
E06000037,West Berkshire,8,8 or more people in household,69,0.1
E06000038,Reading,0,0 people in household,0,0.0
E06000038,Reading,1,1 person in household,19262,28.46
E06000038,Reading,2,2 people in household,21183,31.3
E06000038,Reading,3,3 people in household,11577,17.1
E06000038,Reading,4,4 people in household,9585,14.16
E06000038,Reading,5,5 people in household,3685,5.44
E06000038,Reading,6,6 people in household,1426,2.11
E06000038,Reading,7,7 people in household,584,0.86
E06000038,Reading,8,8 or more people in household,381,0.56
E06000039,Slough,0,0 people in household,0,0.0
E06000039,Slough,1,1 person in household,11948,22.79
E06000039,Slough,2,2 people in household,11950,22.8
E06000039,Slough,3,3 people in household,9848,18.79
E06000039,Slough,4,4 people in household,9564,18.24
E06000039,Slough,5,5 people in household,4666,8.9
E06000039,Slough,6,6 people in household,2369,4.52
E06000039,Slough,7,7 people in household,1011,1.93
E06000039,Slough,8,8 or more people in household,1067,2.04
E06000040,Windsor and Maidenhead,0,0 people in household,0,0.0
E06000040,Windsor and Maidenhead,1,1 person in household,16715,27.43
E06000040,Windsor and Maidenhead,2,2 people in household,20250,33.23
E06000040,Windsor and Maidenhead,3,3 people in household,10329,16.95
E06000040,Windsor and Maidenhead,4,4 people in household,9479,15.56
E06000040,Windsor and Maidenhead,5,5 people in household,2754,4.52
E06000040,Windsor and Maidenhead,6,6 people in household,865,1.42
E06000040,Windsor and Maidenhead,7,7 people in household,264,0.43
E06000040,Windsor and Maidenhead,8,8 or more people in household,279,0.46
E06000041,Wokingham,0,0 people in household,0,0.0
E06000041,Wokingham,1,1 person in household,16265,23.52
E06000041,Wokingham,2,2 people in household,23529,34.02
E06000041,Wokingham,3,3 people in household,12396,17.92
E06000041,Wokingham,4,4 people in household,12405,17.94
E06000041,Wokingham,5,5 people in household,3405,4.92
E06000041,Wokingham,6,6 people in household,832,1.2
E06000041,Wokingham,7,7 people in household,223,0.32
E06000041,Wokingham,8,8 or more people in household,109,0.16
E06000042,Milton Keynes,0,0 people in household,0,0.0
E06000042,Milton Keynes,1,1 person in household,29795,26.34
E06000042,Milton Keynes,2,2 people in household,36133,31.95
